"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    arrange: build and deploy the paas charm.
    act: deploy the MySQL database and relate it to the charm.
    assert: requesting the charm should return a correct response
    ","99232","test_with_mysql[flask_app-8000-mysql/status]","tests.integration.integrations","2026-06-06","passed","2026-06-06","","test_mysql","",""
"
    arrange: Django is deployed with async enabled rock. Change gunicorn worker class.
    act: Do 15 requests that would take 2 seconds each.
    assert: All 15 requests should be served in under 3 seconds.
    ","17145","test_async_workers","tests.integration.django","2026-06-06","passed","2026-06-06","","test_workers","",""
"
    arrange: build and deploy the flask charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response
    ","104229","test_with_database[postgresql/status-postgresql-k8s-14/edge-None-True]","tests.integration.flask","2026-06-06","passed","2026-06-06","","test_database","",""
"
    arrange: flask charm with paas-config.yaml containing custom scrape_configs, scaled to 2 units.
    act: establish relation with prometheus charm.
    assert: prometheus scrapes framework default jobs (port 9102 on 2 units), custom jobs
        (port 8081 on 2 units using wildcard), and scheduler-only job (port 8082 on unit 0 only
        using @scheduler placeholder). Verify custom labels and @scheduler resolves to unit 0 FQDN.
    ","52247","test_prometheus_custom_scrape_configs","tests.integration.integrations","2026-06-06","passed","2026-06-06","","test_prometheus","",""
"
    arrange: build and deploy the flask charm, and change the gunicorn timeout configuration.
    act: send long-running requests to the flask application managed by the flask charm.
    assert: the gunicorn should restart the worker if the request duration exceeds the timeout.
    ","186774","test_flask_webserver_timeout[timeout=5]","tests.integration.flask","2026-06-06","passed","2026-06-06","","test_charm","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","183","test_app_config[builtin]","tests.integration.flask","2026-06-06","passed","2026-06-06","","test_flask_configs","",""
"
    arrange: build and deploy the flask charm, and change the gunicorn timeout configuration.
    act: send long-running requests to the flask application managed by the flask charm.
    assert: the gunicorn should restart the worker if the request duration exceeds the timeout.
    ","173161","test_flask_webserver_timeout[timeout=3]","tests.integration.flask","2026-06-06","passed","2026-06-06","","test_charm","",""
"
    arrange: after non-root charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","66086","test_non_root_loki_integration[ExpressJS non-root]","tests.integration.general","2026-06-06","passed","2026-06-06","","test_non_root_loki","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with prometheus charm.
    assert: prometheus metrics endpoint for prometheus is active and prometheus has active scrape
        targets.
    ","70018","test_prometheus_integration[spring_boot_app-8080-/actuator/prometheus]","tests.integration.integrations","2026-06-06","passed","2026-06-06","","test_prometheus","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","159113","test_loki_integration[flask_app-8000]","tests.integration.integrations","2026-06-06","passed","2026-06-06","","test_loki","",""
"
    arrange: set up the test Juju model and deploy the workload charm.
    act: integrate with ingress and hydra.
    assert: the workload charm uses the Kratos charm as the idp.
    ","315179","test_oauth_integrations[flask_app-login]","tests.integration.integrations","2026-06-06","passed","2026-06-06","","test_oauth","",""
"
    arrange: Build and deploy the charm. Integrate the charm with the smtp-integrator.
    act: Send an email from the charm.
    assert: The mailcatcher should have received the email.
    ","47955","test_smtp_integrations[fastapi_app-8080]","tests.integration.integrations","2026-06-06","passed","2026-06-06","","test_smtp","",""
"
    arrange: Deploy Tempo cluster, app to test and postgres if required.
    act: Send 5 requests to the app.
    assert: Tempo should have tracing info about the app.
    ","63070","test_workload_tracing[fastapi_app-8080]","tests.integration.integrations","2026-06-06","passed","2026-06-06","","test_tracing","",""
"
    arrange: Deploy the application.
    act: Set the non-optional config options 1 by 1 and check.
    assert: At first both options should be in status message,
        when one set the charm should still be in blocked state
        with the message showing which option is missing.
        When both set charm should be in active state.
    ","44087","test_non_optional[expressjs]","tests.integration.general","2026-06-06","passed","2026-06-06","","test_config","",""
"
    arrange: build and deploy the flask charm, and change flask related configurations
        to certain invalid values.
    act: none.
    assert: flask charm should enter the blocked status and the status message should show
        invalid configuration options.
    ","175","test_invalid_flask_config[permanent_session_lifetime]","tests.integration.flask","2026-06-06","passed","2026-06-06","","test_flask_configs","",""
"
    arrange: Build and deploy the charm with minimal integrations.
    act: Send a request to the web application.
    assert: The request succeeds.
    ","185","test_flask_minimal","tests.integration.integrations","2026-06-06","passed","2026-06-06","","test_minimal","",""
"
    arrange: build and deploy the django charm, and change the django related configuration.
    act: send request to the django application to retrieve the corresponding settings.
    assert: settings in django application correctly updated according to the charm configuration.
    ","507","test_django_charm_config[allowed-host]","tests.integration.django","2026-06-06","passed","2026-06-06","","test_django","",""
"
    arrange: build and deploy the flask charm, and change flask related configurations.
    act: query flask configurations from the Flask server.
    assert: the flask configuration should match flask related charm configurations.
    ","178","test_flask_config[debug]","tests.integration.flask","2026-06-06","passed","2026-06-06","","test_flask_configs","",""
"
    arrange: Build and deploy the charm. Integrate the charm with the smtp-integrator.
    act: Send an email from the charm.
    assert: The mailcatcher should have received the email.
    ","55334","test_smtp_integrations[expressjs_app-8080]","tests.integration.integrations","2026-06-06","passed","2026-06-06","","test_smtp","",""
